,Carter Number,Name
quickbo01,4,Bob Quick
raymocr01,4,Craig Raymond
riordmi01,4,Mike Riordan
schluda01,3,Dale Schlueter
simsdo01,4,Doug Sims
smithgr01,3,Greg Smith
trappjo01,4,John Trapp
unselwe01,3,Wes Unseld
walledw01,4,Dwight Waller
willicl01,4,Cliff Williams
williro01,4,Ron Williams
willisa01,4,Sam Williams
abdulka01,3,Kareem Abdul-Jabbar
allenlu01,3,Lucius Allen
anderwa01,4,Wally Anderzunas
arthujo01,4,John Arthurs
baumjo01,4,Johnny Baum
beardbu01,3,Butch Beard
cartefr01,3,Fred Carter
dandrbo01,3,Bob Dandridge
davismi01,4,Mike Davis
garredi01,4,Dick Garrett
gillihe01,3,Herm Gilliam
greacbo01,4,Bob Greacen
greenla01,4,Lamar Green
hawkico01,4,Connie Hawkins
heanebr01,4,Brian Heaney
kuberst01,3,Steve Kuberski
lynnmi01,4,Mike Lynn
mccarwi01,4,Willie McCarter
mixst01,3,Steve Mix
omallgr01,4,Grady O'Malley
ogdenbu01,4,Bud Ogden
portmbo01,4,Bob Portman
rackllu01,4,Luther Rackley
reynoge01,4,George Reynolds
roberri01,4,Rick Roberson
scholda01,4,Dave Scholz
smithbi02,3,Bingo Smith
vanlino01,3,Norm Van Lier
walkne01,4,Neal Walk
warrejo01,4,John Warren
whitejo01,3,Jo Jo White
willibe01,4,Bernie Williams
winfile01,4,Lee Winfield
adamsdo01,3,Don Adams
architi01,3,Tiny Archibald
arnzebo01,4,Bob Arnzen
awtrede01,3,Dennis Awtrey
barrmo01,4,Moe Barr
blackto01,4,Tom Black
chrisbo01,4,Bob Christian
colliji01,4,Jimmy Collins
cookejo01,4,Joe Cooke
cowenda01,3,Dave Cowens
crosspe01,4,Pete Cross
driscte01,4,Terry Driscoll
englicl01,4,Claude English
fillmgr01,4,Greg Fillmore
fontale01,4,Levi Fontaine
fordja01,4,Jake Ford
freemga01,4,Gary Freeman
gilmowa01,4,Walt Gilmore
haywosp01,3,Spencer Haywood
heardga01,3,Gar Heard
henryal01,4,Al Henry
holtaw01,4,A.W. Holt
howargr01,4,Greg Howard
hummejo01,4,John Hummer
hydergr01,4,Greg Hyder
johnsge01,4,George Johnson
johnsjo01,3,John Johnson
killuea01,4,Earnie Killum
knighro01,4,Ron Knight
laceysa01,3,Sam Lacey
laniebo01,3,Bob Lanier
maravpe01,3,Pete Maravich
marlaha01,4,Harvey Marlatt
masted01,4,Eddie Mast
mcmilji01,3,Jim McMillian
mikanla01,4,Larry Mikan
morgare01,4,Rex Morgan
murphca01,3,Calvin Murphy
ogdenra01,4,Ralph Ogden
perrycu01,3,Curtis Perry
petrige01,3,Geoff Petrie
pricemi01,4,Mike Price
rileybo01,4,Bob Riley
ruffnpa01,4,Paul Ruffner
sillimi01,4,Mike Silliman
smithga01,4,Garfield Smith
sorenda01,4,Dave Sorenson
stewade01,4,Dennis Stewart
stricbi01,4,Bill Stricker
suitega01,4,Gary Suiter
taylofr01,4,Fred Taylor
thomajo01,4,Joe Thomas
tomjaru01,3,Rudy Tomjanovich
vallejo01,4,John Vallely
